dcmtk idx,Imaging SOP Class OID,keyword,dcmtk,DECK,buffer size,
,,UID_AcquisitionContextSRStorage,Sra,Sra_,4096,
,,UID_AdvancedBlendingPresentationStateStorage,Psa,Psa_,4096,
,,UID_AmbulatoryECGWaveformStorage,ECA,ECA_,4096,
,,UID_ArterialPulseWaveformStorage,Wva,Wva_,4096,
,,UID_AutorefractionMeasurementsStorage,Opa,Opa_,4096,
,,UID_BasicStructuredDisplayStorage,SD,SD__,4096,
,,UID_BasicTextSRStorage,Srt,Srt_,4096,
,,UID_BasicVoiceAudioWaveformStorage,AUV,AUV_,4096,
,,UID_BlendingSoftcopyPresentationStateStorage,Psb,Psb_,4096,
,,UID_BodyPositionWaveformStorage,Wvb,Wvb_,4096,
0,1.2.840.10008.5.1.4.1.1.13.1.4,UID_BreastProjectionXRayImageStorageForPresentation,BX,BX__,   4096 * 4096 * 2,
1,1.2.840.10008.5.1.4.1.1.13.1.5,UID_BreastProjectionXRayImageStorageForProcessing,BP,BP__,   4096 * 4096 * 2,
2,1.2.840.10008.5.1.4.1.1.13.1.3,UID_BreastTomosynthesisImageStorage,BT,BT__,   4096 * 4096 * 2,
,,UID_CardiacElectrophysiologyWaveformStorage,Wvc,Wvc_,4096,
,,UID_CArmPhotonElectronRadiationRecordStorage,Rrc,Rrc_,4096,
,,UID_CArmPhotonElectronRadiationStorage,Rca,Rca_,4096,
,,UID_ChestCADSRStorage,Srh,Srh_,4096,
,,UID_ColonCADSRStorage,Sro,Sro_,4096,
,,UID_ColorPaletteStorage,CP,CP__,4096,
,,UID_ColorSoftcopyPresentationStateStorage,Psc,Psc_,4096,
,,UID_CompositingPlanarMPRVolumetricPresentationStateStorage,Vpc,Vpc_,4096,
,,UID_Comprehensive3DSRStorage,SR3,SR3_,4096,
,,UID_ComprehensiveSRStorage,Src,Src_,4096,
3,1.2.840.10008.5.1.4.1.1.1,UID_ComputedRadiographyImageStorage,CR,CR__,   2048 * 2048 * 2,
4,1.2.840.10008.5.1.4.1.1.77.1.8,UID_ConfocalMicroscopyImageStorage,Cfm,Cfm_,  1024 * 1024,
5,1.2.840.10008.5.1.4.1.1.77.1.9,UID_ConfocalMicroscopyTiledPyramidalImageStorage,Cft,Cft_,  1024 * 1024 * 10,
,,UID_ContentAssessmentResultsStorage,AS,AS__,4096,
7,1.2.840.10008.5.1.4.1.1.82.1,UID_CornealTopographyMapStorage,CM,CM__,   512 * 512,
,,UID_CTDefinedProcedureProtocolStorage,PPcd,PPcd,4096,  /* was PPd */
6,1.2.840.10008.5.1.4.1.1.2,UID_CTImageStorage,CT,CT__,   512 * 512 * 2,
,,UID_CTPerformedProcedureProtocolStorage,PPcp,PPcp,4096,  /* was PPp */
,,UID_DeformableSpatialRegistrationStorage,Rgd,Rgd_,4096,
8,1.2.840.10008.5.1.4.1.1.77.1.7,UID_DermoscopicPhotographyImageStorage,Vld,Vld_,  768 * 576 * 3,
9,1.2.840.10008.5.1.4.1.1.1.3,UID_DigitalIntraOralXRayImageStorageForPresentation,Dxo,Dxo_,  1024 * 1024 * 2,
10,1.2.840.10008.5.1.4.1.1.1.3.1,UID_DigitalIntraOralXRayImageStorageForProcessing,Dpo,Dpo_,  1024 * 1024 * 2,
11,1.2.840.10008.5.1.4.1.1.1.2,UID_DigitalMammographyXRayImageStorageForPresentation,Dxm,Dxm_,  4096 * 4096 * 2,
12,1.2.840.10008.5.1.4.1.1.1.2.1,UID_DigitalMammographyXRayImageStorageForProcessing,Dpm,Dpm_,  4096 * 4096 * 2,
13,1.2.840.10008.5.1.4.1.1.1.1,UID_DigitalXRayImageStorageForPresentation,DX,DX__,   2048 * 2048 * 2,
14,1.2.840.10008.5.1.4.1.1.1.1.1,UID_DigitalXRayImageStorageForProcessing,DP,DP__,   2048 * 2048 * 2,
,,UID_ElectromyogramWaveformStorage,EMG,EMG_,4096,
,,UID_ElectrooculogramWaveformStorage,EOG,EOG_,4096,
,,UID_EncapsulatedCDAStorage,CDA,CDA_,4096,
,,UID_EncapsulatedMTLStorage,MTL,MTL_,4096,
,,UID_EncapsulatedOBJStorage,OBJ,OBJ_,4096,
,,UID_EncapsulatedPDFStorage,PDF,PDF_,  1024 * 1024,
,,UID_EncapsulatedSTLStorage,STL,STL_,4096,
15,1.2.840.10008.5.1.4.1.1.481.24,UID_EnhancedContinuousRTImageStorage,Ric,Ric_,4096,
16,1.2.840.10008.5.1.4.1.1.2.1,UID_EnhancedCTImageStorage,Cte,Cte_,  256 * 512 * 512,
17,1.2.840.10008.5.1.4.1.1.4.3,UID_EnhancedMRColorImageStorage,Mrc,Mrc_,  256 * 512 * 512 * 3,
18,1.2.840.10008.5.1.4.1.1.4.1,UID_EnhancedMRImageStorage,Mre,Mre_,  256 * 512 * 512,
19,1.2.840.10008.5.1.4.1.1.130,UID_EnhancedPETImageStorage,Pie,Pie_,  512 * 512 * 2,
20,1.2.840.10008.5.1.4.1.1.481.23,UID_EnhancedRTImageStorage,Rie,Rie_,4096,
,,UID_EnhancedSRStorage,Sre,Sre_,4096,
21,1.2.840.10008.5.1.4.1.1.6.2,UID_EnhancedUSVolumeStorage,Use,Use_,  512 * 512,
22,1.2.840.10008.5.1.4.1.1.12.1.1,UID_EnhancedXAImageStorage,Xae,Xae_,  256 * 512 * 512,
,,UID_EnhancedXRayRadiationDoseSRStorage,SRde,SRde,4096,
23,1.2.840.10008.5.1.4.1.1.12.2.1,UID_EnhancedXRFImageStorage,Rfe,Rfe_,  256 * 512 * 512,
,,UID_ExtensibleSRStorage,Srx,Srx_,4096,
,,UID_General32BitECGWaveformStorage,ECGh,ECGh,4096,
,,UID_GeneralAudioWaveformStorage,AUG,AUG_,4096,
,,UID_GeneralECGWaveformStorage,ECG,ECG_,4096,
,,UID_GenericImplantTemplateStorage,IT,IT__,4096,
,,UID_GrayscalePlanarMPRVolumetricPresentationStateStorage,Vpg,Vpg_,4096,
,,UID_GrayscaleSoftcopyPresentationStateStorage,Psg,Psg_,4096,
,,UID_HangingProtocolStorage,HP,HP__,4096,
24,1.2.840.10008.5.1.4.1.1.66.8,UID_HeightMapSegmentationStorage,Sgh,Sgh_,  512 * 512,
,,UID_HemodynamicWaveformStorage,Wvh,Wvh_,4096,
,,UID_ImplantAssemblyTemplateStorage,Ita,Ita_,4096,
,,UID_ImplantationPlanSRStorage,Sri,Sri_,4096,
,,UID_ImplantTemplateGroupStorage,Itg,Itg_,4096,
,,UID_IntraocularLensCalculationsStorage,Opc,Opc_,4096,
25,1.2.840.10008.5.1.4.1.1.14.1,UID_IntravascularOpticalCoherenceTomographyImageStorageForPresentation,Oct,Oct_, 512 * 512,
26,1.2.840.10008.5.1.4.1.1.14.2,UID_IntravascularOpticalCoherenceTomographyImageStorageForProcessing,Ocp,Ocp_, 512 * 512,
,,UID_InventoryStorage,INV,INV_,4096,
,,UID_KeratometryMeasurementsStorage,Opk,Opk_,4096,
,,UID_KeyObjectSelectionDocumentStorage,KO,KO__,4096,
27,1.2.840.10008.5.1.4.1.1.66.7,UID_LabelMapSegmentationStorage,Sgl,Sgl_,  512 * 512,
28,1.2.840.10008.5.1.4.1.1.2.2,UID_LegacyConvertedEnhancedCTImageStorage,Ctl,Ctl_,  512 * 512 * 2,
29,1.2.840.10008.5.1.4.1.1.4.4,UID_LegacyConvertedEnhancedMRImageStorage,Mrl,Mrl_,  256 * 256 * 2,
30,1.2.840.10008.5.1.4.1.1.128.1,UID_LegacyConvertedEnhancedPETImageStorage,Pil,Pil_,  512 * 512 * 2,
,,UID_LensometryMeasurementsStorage,Opl,Opl_,4096,
,,UID_MacularGridThicknessAndVolumeReportStorage,Srg,Srg_,4096,
,,UID_MammographyCADSRStorage,Srm,Srm_,4096,
,,UID_MicroscopyBulkSimpleAnnotationsStorage,Mas,Mas_,4096,
31,1.2.840.10008.5.1.4.1.1.4,UID_MRImageStorage,MR,MR__,   256 * 256 * 2,
,,UID_MRSpectroscopyStorage,Mrs,Mrs_,  256 * 512 * 512,
,,UID_MultichannelRespiratoryWaveformStorage,Wvm,Wvm_,4096,
32,1.2.840.10008.5.1.4.1.1.7.2,UID_MultiframeGrayscaleByteSecondaryCaptureImageStorage,Scb,Scb_,  512 * 512,
33,1.2.840.10008.5.1.4.1.1.7.3,UID_MultiframeGrayscaleWordSecondaryCaptureImageStorage,Scw,Scw_,  512 * 512 * 2,
34,1.2.840.10008.5.1.4.1.1.7.1,UID_MultiframeSingleBitSecondaryCaptureImageStorage,Scs,Scs_,  1024 * 1024,  /* roughly an A4 300dpi scan */
35,1.2.840.10008.5.1.4.1.1.7.4,UID_MultiframeTrueColorSecondaryCaptureImageStorage,Scc,Scc_,  512 * 512 * 3,
,,UID_MultipleVolumeRenderingVolumetricPresentationStateStorage,Vpm,Vpm_,4096,
36,1.2.840.10008.5.1.4.1.1.20,UID_NuclearMedicineImageStorage,NM,NM__,   64 * 64 * 2,
,,UID_OphthalmicAxialMeasurementsStorage,Opx,Opx_,4096,
37,1.2.840.10008.5.1.4.1.1.77.1.5.8,UID_OphthalmicOpticalCoherenceTomographyBscanVolumeAnalysisStorage,Ocb,Ocb_, 768 * 576,
38,1.2.840.10008.5.1.4.1.1.77.1.5.7,UID_OphthalmicOpticalCoherenceTomographyEnFaceImageStorage,Oce,Oce_,  768 * 576  * 2,
39,1.2.840.10008.5.1.4.1.1.77.1.5.2,UID_OphthalmicPhotography16BitImageStorage,Opw,Opw_,  768 * 576 * 6,
40,1.2.840.10008.5.1.4.1.1.77.1.5.1,UID_OphthalmicPhotography8BitImageStorage,Opb,Opb_,  768 * 576 * 3,
41,1.2.840.10008.5.1.4.1.1.81.1,UID_OphthalmicThicknessMapStorage,Opm,Opm_,  768 * 576,
42,1.2.840.10008.5.1.4.1.1.77.1.5.4,UID_OphthalmicTomographyImageStorage,Opt,Opt_,  768 * 576 * 3,
,,UID_OphthalmicVisualFieldStaticPerimetryMeasurementsStorage,Opp,Opp_,4096,
43,1.2.840.10008.5.1.4.1.1.30,UID_ParametricMapStorage,PM,PM__,   256 * 256 * 4,
,,UID_PatientRadiationDoseSRStorage,Srq,Srq_,4096,
,,UID_PerformedImagingAgentAdministrationSRStorage,Sri,Sri_,4096,
44,1.2.840.10008.5.1.4.1.1.6.3,UID_PhotoacousticImageStorage,PA,PA__,   256 * 512 * 512,
,,UID_PlannedImagingAgentAdministrationSRStorage,Srj,Srj_,4096,
45,1.2.840.10008.5.1.4.1.1.128,UID_PositronEmissionTomographyImageStorage,PI,PI__,   512 * 512 * 2,
,,UID_ProcedureLogStorage,Srp,Srp_,4096,
,,UID_ProtocolApprovalStorage,Pap,Pap_,4096,  /* was PA */
,,UID_PseudoColorSoftcopyPresentationStateStorage,Psp,Psp_,4096,
,,UID_RadiopharmaceuticalRadiationDoseSRStorage,Srr,Srr_,4096,
,,UID_RawDataStorage,RAW,RAW_,  256 * 512 * 512,
,,UID_RealWorldValueMappingStorage,RWM,RWM_,4096,
,,UID_RespiratoryWaveformStorage,Wvr,Wvr_,4096,
,,UID_RoboticArmRadiationStorage,Rra,Rra_,4096,  /* was RRr */
,,UID_RoboticRadiationRecordStorage,Rrr,Rrr_,4096,
,,UID_RoutineScalpElectroencephalogramWaveformStorage,EEG,EEG_,4096,
,,UID_RTBeamsDeliveryInstructionStorage,Rtd,Rtd_,4096,
,,UID_RTBeamsTreatmentRecordStorage,Rtb,Rtb_,4096,
,,UID_RTBrachyApplicationSetupDeliveryInstructionStorage,Rta,Rta_,4096,
,,UID_RTBrachyTreatmentRecordStorage,Rtr,Rtr_,4096,
,,UID_RTDoseStorage,RD,RD__,4096,
46,1.2.840.10008.5.1.4.1.1.481.1,UID_RTImageStorage,RI,RI__,4096,
,,UID_RTIonBeamsTreatmentRecordStorage,Rti,Rti_,4096,
,,UID_RTIonPlanStorage,Rpi,Rpi_,4096,
,,UID_RTPatientPositionAcquisitionInstructionStorage,Rpp,Rpp_,4096,
,,UID_RTPlanStorage,RP,RP__,4096,
,,UID_RTPhysicianIntentStorage,Rip,Rip_,4096,
,,UID_RTRadiationRecordSetStorage,Rsr,Rsr_,4096,
,,UID_RTRadiationSalvageRecordStorage,Rrs,Rrs_,4096,
,,UID_RTRadiationSetDeliveryInstructionStorage,Rsd,Rsd_,4096,
,,UID_RTRadiationSetStorage,Rse,Rse_,4096,  /* was RRs */
,,UID_RTSegmentAnnotationStorage,Ras,Ras_,4096,  /* was RRs */
,,UID_RTStructureSetStorage,RS,RS__,4096,
,,UID_RTTreatmentPreparationStorage,Rtp,Rtp_,4096,
,,UID_RTTreatmentSummaryRecordStorage,Rts,Rts_,4096,
47,1.2.840.10008.5.1.4.1.1.7,UID_SecondaryCaptureImageStorage,SC,SC__,   512 * 512 * 2,
48,1.2.840.10008.5.1.4.1.1.66.4,UID_SegmentationStorage,SG,SG__,   512 * 512,
,,UID_SegmentedVolumeRenderingVolumetricPresentationStateStorage,Vps,Vps_,4096,
,,UID_SimplifiedAdultEchoSRStorage,Sru,Sru_,4096,
,,UID_SleepElectroencephalogramWaveformStorage,Wvs,Wvs_,4096,
,,UID_SpatialFiducialsStorage,FID,FID_,4096,
,,UID_SpatialRegistrationStorage,Rgs,Rgs_,4096,
,,UID_SpectaclePrescriptionReportStorage,Srs,Srs_,4096,
,,UID_StereometricRelationshipStorage,Opr,Opr_,4096,
,,UID_SubjectiveRefractionMeasurementsStorage,Ops,Ops_,4096,
,,UID_SurfaceScanMeshStorage,Ssm,Ssm_,4096,
,,UID_SurfaceScanPointCloudStorage,Ssp,Ssp_,4096,
,,UID_SurfaceSegmentationStorage,Sgs,Sgs_,4096,
,,UID_TomotherapeuticRadiationRecordStorage,Rrt,Rrt_,4096,
,,UID_TomotherapeuticRadiationStorage,Rto,Rto_,4096,  /* was RRt */
,,UID_TractographyResultsStorage,TR,TR__,4096,
,,UID_TwelveLeadECGWaveformStorage,TLE,TLE_,4096,
49,1.2.840.10008.5.1.4.1.1.6.1,UID_UltrasoundImageStorage,US,US__,   512 * 512,
50,1.2.840.10008.5.1.4.1.1.3.1,UID_UltrasoundMultiframeImageStorage,Usm,Usm_,  512 * 512,
,,UID_VariableModalityLUTSoftcopyPresentationStateStorage,Psv,Psv_,4096,
51,1.2.840.10008.5.1.4.1.1.77.1.1.1,UID_VideoEndoscopicImageStorage,Vve,Vve_,  768 * 576 * 3,
52,1.2.840.10008.5.1.4.1.1.77.1.2,UID_VideoMicroscopicImageStorage,Vvm,Vvm_,  768 * 576 * 3,
53,1.2.840.10008.5.1.4.1.1.77.1.4,UID_VideoPhotographicImageStorage,Vvp,Vvp_,  768 * 576 * 3,
,,UID_VisualAcuityMeasurementsStorage,Opv,Opv_,4096,
54,1.2.840.10008.5.1.4.1.1.77.1.1,UID_VLEndoscopicImageStorage,Vle,Vle_,  768 * 576 * 3,
55,1.2.840.10008.5.1.4.1.1.77.1.2,UID_VLMicroscopicImageStorage,Vlm,Vlm_,  768 * 576 * 3,
56,1.2.840.10008.5.1.4.1.1.77.1.4,UID_VLPhotographicImageStorage,Vlp,Vlp_,  768 * 576 * 3,
57,1.2.840.10008.5.1.4.1.1.77.1.3,UID_VLSlideCoordinatesMicroscopicImageStorage,Vls,Vls_,  768 * 576 * 3,
58,1.2.840.10008.5.1.4.1.1.77.1.6,UID_VLWholeSlideMicroscopyImageStorage,Vlw,Vlw_,  10000 * 10000 * 3,
,,UID_VolumeRenderingVolumetricPresentationStateStorage,Vpv,Vpv_,4096,
,,UID_WaveformAcquisitionPresentationStateStorage,Psq,Psq_,4096,
,,UID_WaveformAnnotationSRStorage,Srw,Srw_,4096,
,,UID_WaveformPresentationStateStorage,Psw,Psw_,4096,
59,1.2.840.10008.5.1.4.1.1.77.1.5.5,UID_WideFieldOphthalmicPhotographyStereographicProjectionImageStorage,Ows,Ows_, 768 * 576 * 3,
60,1.2.840.10008.5.1.4.1.1.77.1.5.6,UID_WideFieldOphthalmicPhotography3DCoordinatesImageStorage,OW3,OW3_,  768 * 576 * 3,
,,UID_XADefinedProcedureProtocolStorage,PPxd,PPxd,4096,
,,UID_XAPerformedProcedureProtocolStorage,PPxp,PPxp,4096,
,,UID_XAXRFGrayscaleSoftcopyPresentationStateStorage,Psx,Psx_,4096,
61,1.2.840.10008.5.1.4.1.1.13.1.1,UID_XRay3DAngiographicImageStorage,XA3,XA3_,  256 * 512 * 512,
62,1.2.840.10008.5.1.4.1.1.13.1.2,UID_XRay3DCraniofacialImageStorage,XC3,XC3_,  256 * 512 * 512,
63,1.2.840.10008.5.1.4.1.1.12.1,UID_XRayAngiographicImageStorage,XA,XA__,   256 * 512 * 512,
,,UID_XRayRadiationDoseSRStorage,Srd,Srd_,4096,
64,1.2.840.10008.5.1.4.1.1.12.2,UID_XRayRadiofluoroscopicImageStorage,RF,RF__,   256 * 512 * 512,
,,,,,,
,,// retired,,,,
,,UID_RETIRED_HardcopyColorImageStorage,HC,HC__,4096,
,,UID_RETIRED_HardcopyGrayscaleImageStorage,HG,HG__,4096,
,,UID_RETIRED_NuclearMedicineImageStorage,Nmr,Nmr_,  64 * 64 * 2,
,,UID_RETIRED_StandaloneCurveStorage,CV,CV__,4096,
,,UID_RETIRED_StandaloneModalityLUTStorage,ML,ML__,   4096 * 2,
,,UID_RETIRED_StandaloneOverlayStorage,OV,OV__,   512 * 512,
,,UID_RETIRED_StandalonePETCurveStorage,PC,PC__,4096,
,,UID_RETIRED_StandaloneVOILUTStorage,VO,VO__,   4096 * 2,
,,UID_RETIRED_StoredPrintStorage,SP,SP__,4096,
,,UID_RETIRED_UltrasoundImageStorage,Usr,Usr_,  512 * 512,
,,UID_RETIRED_UltrasoundMultiframeImageStorage,Usf,Usf_,  512 * 512,
,,UID_RETIRED_VLImageStorage,Vlr,Vlr_,  768 * 576 * 3,
,,UID_RETIRED_VLMultiframeImageStorage,Vmr,Vmr_,  768 * 576 * 3,
,,UID_RETIRED_XRayAngiographicBiPlaneImageStorage,XB,XB__,   512 * 512 * 2,
,,,,,,
,,// draft,,,,
,,UID_DRAFT_RTBeamsDeliveryInstructionStorage,RB_d,RB_d,4096,"  /* was ""RBd"" */"
,,UID_DRAFT_SRAudioStorage,SR_a,SR_a,4096,"  /* was ""SRw"" */"
,,UID_DRAFT_SRComprehensiveStorage,SR_c,SR_c,4096,"  /* was ""SRx"" */"
,,UID_DRAFT_SRDetailStorage,SR_d,SR_d,4096,"  /* was ""SRy"" */"
,,UID_DRAFT_SRTextStorage,SR_t,SR_t,4096,"  /* was ""SRz"" */"
,,UID_DRAFT_WaveformStorage,WV_d,WV_d,4096,"  /* was ""WVd"" */"
,,,,,,
,,// DICOS,,,,
,,UID_DICOS_CTImageStorage,Cts,Cts_,  512 * 512 * 2,
,,UID_DICOS_DigitalXRayImageStorageForPresentation,Dxs,Dxs_,  2048 * 2048 * 2,
,,UID_DICOS_DigitalXRayImageStorageForProcessing,DPs,DPs_,  2048 * 2048 * 2,
,,UID_DICOS_ThreatDetectionReportStorage,TDR,TDR_,4096,
,,UID_DICOS_2DAITStorage,AI2,AI2_,4096,
,,UID_DICOS_3DAITStorage,AI3,AI3_,4096,
,,UID_DICOS_QuadrupoleResonanceStorage,QR,QR__,4096,
,,,,,,
,,// DICONDE,,,,
,,UID_DICONDE_EddyCurrentImageStorage,EC,EC__,   512 * 512,
,,UID_DICONDE_EddyCurrentMultiframeImageStorage,Ecm,Ecm_,  512 * 512,
,,UID_DICONDE_ThermographyImageStorage,TG,TG__,   512 * 512,
,,UID_DICONDE_ThermographyMultiFrameImageStorage,Tgm,Tgm_,  512 * 512,
,,UID_DICONDE_UltrasoundWaveformStorage,UW,UW__,4096,
